City_Eng_Trim,irrigated_area_abs,area,irrigated_area_rel
Shijiazhuang,512.61,1.47955,346.4634517
Xinji,64.2,,
Chengde,122.3,4.27787,28.58899406
Zhangjiakou,252.55,3.96479,63.69820344
Qinhuangdao,126.73,0.83462,151.8415566
Tangshan,456.09,1.42873,319.2275657
Langfang,230.49,0.70266,328.0249338
Baoding,653.37,2.25689,289.5001529
Dingzhou,85.66,,
Cangzhou,498.18,1.45651,342.0367866
Hengshui,480.47,0.87179,551.1304328
Xingtai,577.39,1.23238,468.5162044
Handan,537.8,1.19957,448.3273173
Changzhi,132.7527273,1.36124,97.52338111
Datong,132.7527273,1.4342,92.56221399
Jincheng,132.7527273,0.93759,141.5893165
Jinzhong,132.7527273,1.75826,75.50233032
Linfen,132.7527273,2.01443,65.90088874
Luliang,132.7527273,2.11422,62.79040369
Shuozhou,132.7527273,1.10929,119.6735996
Taiyuan,132.7527273,0.68681,193.2888678
Xinzhou,132.7527273,2.78548,47.65883341
Yangquan,132.7527273,0.45599,291.1307864
Yuncheng,132.7527273,1.46099,90.86491167
Hohhot,210.34,2.1181,99.30598178
Baotou,127.64,2.62228,48.67519868
Hulunbuir,254.41,31.39708,8.102982825
Xing'an,324.46,6.27071,51.74214722
Tongliao,644.43,6.72057,95.88918797
Chifeng,412.29,9.34844,44.10254545
Xilin Gol,34.21,22.95668,1.49019806
Ulaan Chab,175.04,5.83703,29.98785341
Ordos,244.3,9.1295,26.75940632
Baynnur,652.72,6.89152,94.71350297
Wuhai,7.06,0.1842,38.32790445
Alxa,87.22,25.64332,3.401275654
Shenyang,261.74,1.35365,193.3586969
Dalian,73.6,1.38771,53.03701782
Anshan,74.41,0.91651,81.18842129
Fushun,40.42,1.17243,34.47540578
Benxi,17.17,0.88342,19.43582894
Dandong,79.17,1.59143,49.74771118
Jinzhou,181.8648,1.17245,155.1151861
Yingkou,73.71,,
Fuxin,138.89,1.13677,122.1795086
Liaoyang,72.46,0.54755,132.3349466
Panjin,96.17,0.32501,295.8985877
Tieling,172.19,2.00093,86.05498443
Chaoyang,168.191,2.10023,80.08218148
Huludao,70.32,1.0864,64.7275405
Changchun,251.4,2.28948,109.8065936
Jilin,159.7,3.08476,51.77064018
Siping,206.3,1.62992,126.5706292
Liaoyuan,23,0.54139,42.48323759
Tonghua,5.1,1.76025,2.897315722
Baishan,1.9,1.81299,1.047992543
Songyuan,460.2,2.38178,193.2168378
Baicheng,520.2,3.01779,172.3777996
Yanbian Korean,68.6,4.82885,14.206281
Harbin,745.7,6.20134,120.2482044
Qiqihar,675.1,5.03084,134.1923019
Jixi,161.5,2.91206,55.45902214
Hegang,145.4,1.64992,88.12548487
Shuangyashan,96.66,2.66297,36.29781785
Daqing,462.3,2.44161,189.3422783
Yichun,48.77,1.7874,27.28544254
Jiamusi,458.67,3.75269,122.2243244
Qitaihe,19.6,0.66838,29.32463569
Mudanjiang,92.2,4.35373,21.17724342
Heihe,84.15,8.25955,10.18820638
Suihua,520.02,4.12194,126.1590416
Daxing'anling,4.1,8.48529,0.483189143
Changzhou,304.0384615,0.27543,1103.868357
Huai'an,304.0384615,0.99009,307.0816406
Lianyungang,304.0384615,0.70434,431.6643404
Nanjing,304.0384615,0.6442,471.96284
Nantong,304.0384615,0.84477,359.906793
Suqian,304.0384615,0.89676,339.0410606
Suzhou,304.0384615,0.76586,396.9896084
Taizhou,304.0384615,0.55188,550.9140782
Wuxi,304.0384615,0.53617,567.0560858
Xuzhou,304.0384615,1.11418,272.8809183
Yancheng,304.0384615,1.48985,204.073203
Yangzhou,304.0384615,0.70317,432.3825839
Zhenjiang,304.0384615,0.41357,735.1559869
Hangzhou,154.94,1.66084,93.29014234
Ningbo,175.7,0.99161,177.1865955
Jiaxing,183.47,0.39815,460.8062288
Huzhou,136.53,0.54823,249.0378126
Shaoxing,155.96,0.73869,211.1305148
Zhoushan,15.11,0.14216,106.2886888
Wenzhou,114.19,1.09984,103.8241926
Jinhua,167.28,0.94364,177.2709932
Quzhou,104.83,0.81882,128.0256955
Taizhou,125.96,0.55188,228.2380228
Lishui,98.19,1.56838,62.6060011
Hefei,458.4,1.57343,291.3380322
Huaibei,142.87,0.20064,712.0713716
Bozhou,459.54,0.82247,558.7316255
Suzhou,421.99,0.76586,551.0014885
Bengbu,237.15,0.54189,437.6349444
Fuyang,425.08,0.95574,444.7653127
Huainan,283.18,0.29149,971.4913033
Chuzhou,490.05,1.21789,402.3762409
Lu'an,428.57,1.76935,242.2188939
Ma'anshan,147.85,0.12434,1189.078334
Wuhu,196.58,0.24664,797.0321116
Xuancheng,200.66,1.22208,164.19547
Tongling,81.69,0.15104,540.8501059
Chizhou,105.68,0.71633,147.5297698
Anqing,269.83,1.40427,192.1496578
Huangshan,51.23,0.86085,59.51094848
Fuzhou,117.9666667,1.05774,111.5270924
Longyan,117.9666667,1.71672,68.71631175
Nanping,117.9666667,2.44728,48.20317524
Ningde,117.9666667,1.32062,89.3267304
Putian,117.9666667,0.30325,389.0079693
Quanzhou,117.9666667,0.97112,121.4748607
Sanming,117.9666667,2.0155,58.52972796
Xiamen,117.9666667,0.12384,952.573213
Zhangzhou,117.9666667,1.17215,100.6412718
Nanchang,189,0.6505,290.5457341
Jingdezhen,52,0.53129,97.87498353
Pingxiang,43,0.31641,135.8996239
Jiujiang,203,1.79614,113.0201432
Xinyu,53,0.2388,221.9430486
Yingtan,53,0.33913,156.2822516
Ganzhou,285,3.66353,77.79382181
Ji'an,294,2.30073,127.7855289
Yichun,309,1.7874,172.8768043
Fuzhou,241,1.05774,227.8442717
Shangrao,306,2.12898,143.7308007
Jinan,256.14,0.82054,312.1602847
Qingdao,323.41,1.20227,268.999476
Zibo,129.17,0.65252,197.9556182
Zaozhuang,170.73,0.65846,259.2868208
Dongying,186.48,0.69625,267.8348294
Yantai,246.09,1.42163,173.1041129
Weifang,529.27,1.62401,325.9031656
Jining,470.64,0.93731,502.1177625
Tai'an,239.22,0.74155,322.5945654
Weihai,120.64,0.53208,226.7328221
Rizhao,104.14,0.50094,207.8891684
Laiwu,36.7,0.17596,208.5701296
Linyi,360.2,1.71791,209.6733822
Dezhou,489.76,1.0108,484.5271072
Liaocheng,463.22,0.9912,467.3325262
Binzhou,372.42,0.84308,441.7374389
Heze,628.55,1.26195,498.0783708
Zhengzhou,191.09,0.75921,251.6958417
Kaifeng,336.16,0.48581,691.9577613
Luoyang,145.18,1.45458,99.80887954
Pingdingshan,197.87,0.82713,239.2247893
Anyang,294.59,0.68622,429.2938125
Hebi,89.36,0.22195,402.6132012
Xinxiang,360.25,0.84686,425.3949885
Jiaozuo,167.22,0.39196,426.6251658
Puyang,226.06,0.35262,641.0867223
Xuchang,246.32,0.49296,499.6754301
Luohe,142.4,0.19849,717.4164945
Sanmenxia,47.92,0.94317,50.80738361
Nanyang,481.34,2.54012,189.4949845
Shangqiu,591.45,1.11711,529.4465182
Xinyang,499.14,1.89943,262.7840984
Zhoukou,575.31,1.18685,484.7369086
Zhumadian,595.73,1.43881,414.0435499
Jiyuan shi,23.25,0.18387,126.4480339
Wuhan,150.27,0.74634,201.3425517
Huangshi,55.56,0.39667,140.0660499
Shiyan,36.86,2.32273,15.8692573
Jingzhou,422.96,1.29755,325.9681708
Yichang,121.92,2.06181,59.13250979
Xiangfan,281.89,1.89831,148.4952405
Ezhou,27.73,0.18821,147.3354232
Jingmen,215.28,1.1813,182.2399052
Xiaogan,242.56,0.94045,257.9190813
Huanggang,259.05,1.65482,156.5427056
Xianning,93.35,0.95253,98.00216266
Suizhou Shi,125.92,0.88299,142.6063715
Enshi Tujia and Miao,71.61,2.22892,32.12766721
Xiantao,82.32,0.20583,399.9416995
Tianmen,109.93,0.22294,493.0923118
Qianjiang,62.24,0.14979,415.5150544
Shennongjia,0.15,0.2587,0.579822188
Changsha,224.16,1.05502,212.4699058
Zhuzhou,163.07,1.07659,151.4689901
Xiangtan,140.2,0.41598,337.0354344
Hengyang,287.12,1.35855,211.342976
Shaoyang,284.89,2.1374,133.288107
Yueyang,316.24,1.38241,228.7599193
Changde,469.11,1.69056,277.487933
Zhangjiajie,53.19,0.88152,60.33895998
Yiyang,236.63,1.1501,205.7473263
Chenzhou,190.32,1.66055,114.6126283
Yongzhou,289.43,1.88058,153.9046464
Huaihua,195.67,2.572,76.07698289
Loudi,94.92,0.72061,131.7217358
Xiangxi Tujia and Miao,168.37,1.47202,114.3802394
Chaozhou,84.34761905,0.23824,354.0447408
