Province,Output of Grain Crops(10000 tons),Output of Grain Crops Harvested in Summer(10000 tons),Output of Grain Crops Harvested in Autumn(10000 tons),Output of Cereal(10000 tons),Output of Rice(10000 tons),Output of Early Rice(10000 tons),Output of Middle-season Rice and Single-Cropping Late Rice(10000 tons),Output of Double-Cropping Late Rice(10000 tons),Output of Wheat(10000 tons),Output of Winter Wheat(10000 tons),Output of Spring Wheat(10000 tons),Output of Corn(10000 tons),Output of Millet(10000 tons),Output of Jowar(10000 tons),Output of Other Cereal(10000 tons),Output of Barley(10000 tons),Output of Beans(10000 tons),Output of Mung(10000 tons),Output of Red Bean(10000 tons),Output of Soja(10000 tons),Output of Tubers(10000 tons),Output of Potato(10000 tons),Output of Cotton(10000 tons),Output of Oil-bearing Crops(10000 tons),Output of Peanuts(10000 tons),Output of Rapeseeds(10000 tons),Output of Sesame(10000 tons),Output of Helianthus(10000 tons),Output of Benne(10000 tons),Output of Fiber Crops(10000 tons),Output of Jute and Ambary Hemp(10000 tons),Output of Flax(10000 tons),Output of Hemp(10000 tons),Output of Ramee(10000 tons),Output of Sugar Crops(10000 tons),Output of Sugarcane(10000 tons),Output of Beetroots(10000 tons),Output of Tobacco(10000 tons),Output of Flue-cured Tobacco(10000 tons),Output of Vegetables(10000 tons)
Beijing,53.69,8.6,45.1,52.31,0.12,,0.1,,8.55,8.5,,43.19,0.4,0.1,0.01,,0.51,0.01,0.04,0.4,0.87,,0.0058,0.56,0.44,,0,,,0,,,,,,,,0,0,183.58
Tianjin,196.37,60.9,135.5,194.23,13.36,,13.4,,60.89,54.9,5.9,118.1,0.1,1.6,0.15,,1.19,0.02,0.01,1.1,0.95,,2.3297,1.6,0.56,0.02,0.01,,,0,,,,,,,,,,450.36
Hebei,3460.24,1448.7,2011.5,3321.86,54.72,,54.7,,1433.25,1428.5,4.8,1753.64,52.8,3.8,23.7,0.2,32.04,2.2,1.2,24.7,106.34,59.5,29.95,156.5,129.71,3.1,0.77,,,93.14,0.02,0.02,,,,,93.14,0.61,0.4,8193.37
Shanxi,1318.51,275,1043.6,1232.9,0.49,,0.5,,273.41,273.4,,888.89,42.7,6.4,21,,36.93,7.7,1.2,23.9,48.68,41.7,1.0324,15.43,1.33,0.83,0.22,,,3.32,0,,,,,,3.32,0.9,0.88,1294.51
Inner Mongolia,2780.25,,2780.3,2492.25,63.15,,63.2,,169.9,,169.9,2139.8,48.9,42.5,28.1,12.5,120,15.5,3.5,100.5,168,167,0.0219,220.02,4.9,41.46,0.15,,,267.44,0.16,,,,,,266.19,1.02,0.88,1502.25
Liaoning,2100.63,,2100.6,2017.13,484.59,,484.6,,2.2,,2.2,1465.64,22.8,36.2,5.8,,30.7,1.1,1.1,28.2,52.8,42.8,0.0126,81.33,77.74,0.14,0.01,,,9.4,1,,,,,,9.4,2.72,2.57,2257.48
Jilin,3717.21,,3717.2,3601.6,654.1,,654.1,,0.1,,0.1,2833,24.6,89.5,0.4,,62.5,20.3,2.4,39.9,53.11,50,0,82.54,66.81,,0.68,,,1.41,0,,,,,,1.41,3.97,2.53,852.44
Heilongjiang,6058.5,,6058.5,5435.2,2255.3,,2255.3,,29.02,,29,3127.4,2.9,19.9,0.7,,522.52,3.2,11,503.6,100.79,100.4,0,21.75,4.76,0.05,0.08,,,11.39,7.04,,,,,,11.39,5.3,4.96,936.84
Shanghai,99.16,14.8,84.3,98.56,81.81,,81.8,,12.09,12.1,,2.09,,,2.6,2.6,0.5,,,0.3,0.1,,0.0345,0.9,0.19,0.69,0.01,,,0.55,,,,,,0.55,,,,334.23
Jiangsu,3466.01,1216.5,2249.5,3360.58,1931.39,,1931.4,,1119.55,1119.6,,233.91,0.04,0.2,75.5,73.9,72.64,1,1.9,47.1,32.8,,7.3849,131.93,36.7,93.6,1.62,,,9.03,0.08,,,,,9.02,0.01,,,5593.91
