Province,Total Sown Areas of Farm Crops(1000 hectares),Sown Area of Grain Crops(1000 hectares),Sown Area of Cereal(1000 hectares),Sown Area of Rice(1000 hectares),Sown Area of Wheat(1000 hectares),Sown Area of Corn(1000 hectares),Sown Area of Beans(1000 hectares),Sown Area of Tubers(1000 hectares),Sown Area of Oil-bearing Crops(1000 hectares),Sown Area of Peanuts(1000 hectares),Sown Area of Rapeseeds(1000 hectares),Sown Area of Cotton(1000 hectares),Sown Area of Fiber Crops(1000 hectares),Sown Area of Jute and Ambary Hemp(1000 hectares),Sown Area of Sugar Crops(1000 hectares),Sown Area of Sugarcane(1000 hectares),Sown Area of Beetroots(1000 hectares),Sown Area of Tobacco(1000 hectares),Sown Area of Flue-cured Tobacco(1000 hectares),Sown Area of Vegetables(1000 hectares)
Beijing,151.36,87.33,83.08,0.17,15.91,65.24,2.87,1.38,2.21,1.49,,0.05,,,,,,0,0,47.45
Tianjin,479.17,357.25,350.72,17.68,110.91,218.44,5.15,1.39,6.69,1.65,0.09,14.19,,,,,,,,83.24
Hebei,8716.64,6327.41,5903.26,81.52,2313.9,3191.05,145.61,278.54,468.32,342.25,18.74,288.57,0.08,0.07,19.26,,19.26,2.8,2.35,1236.19
Shanxi,3720.81,3241.42,2716.19,0.7,672.94,1624.75,321.42,203.81,114.7,6.41,4.7,7.05,0,,0.65,,0.65,2.82,2.82,256.96
Inner Mongolia,7921.9,5784.79,4446.54,98.44,593.4,3208.8,791.45,546.8,1026.76,19.06,304.31,0.15,0.24,,63.57,,60.24,3.04,2.33,291.61
Liaoning,4064.1,3231.4,2974.99,562.53,5.8,2258.93,149.71,106.7,288.99,281.27,0.75,0.09,1.46,,1.86,,1.86,9.72,9.16,419.33
Jilin,5676.32,5021.66,4615.13,780.67,0.27,3656.87,328.33,78.2,317.08,206.69,0.2,,0.01,,0.3,,0.3,14.56,10.07,200.43
Heilongjiang,12426.54,11804.74,8542.97,3203.33,79.73,5217.36,3045.28,216.49,112.53,19.16,0.05,,12.55,,3.32,,3.32,20.22,18.68,241.33
Shanghai,294.7,140.07,137.08,95.13,32.59,3.06,2.17,0.82,4.19,0.7,3.39,0.31,,,0.1,0.1,,,,107.94
Jiangsu,7676.92,5432.7,5073.01,2294.82,2189.85,444.21,306.23,53.45,438.63,93.87,336.04,63.39,0.3,,1.48,1.47,0.01,,,1430.36
Zhejiang,2274.44,1255.4,980.75,818.34,76.59,69.49,140.89,133.76,141.11,18.17,117.56,11.24,0.06,0.05,9.49,9.49,,0.63,,633.21
Anhui,8893.61,6644.5,5603.9,2265.5,2446.9,876.2,905.4,135.2,731.13,183.11,500.67,183.44,6.43,3.63,5.27,5.09,,12.79,12.66,920.25
