Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Beijing,2.66,3.9,3.75,3.83,3.73,3.76,3.79,7,6.69,6.75
Tianjin,2.97,3,2.97,2.97,2.97,2.97,2.97,3,2.97,2.97
Hebei,43.27,42.5,40.97,39.41,39.51,38.41,60.59,56.3,60.59,63.46
Shanxi,916.19,921.3,920.89,906.8,908.42,834.59,844.01,1055.5,1061.51,1056.13
Inner Mongolia,510.27,492.8,490.02,460.1,401.66,368.89,769.86,772.7,789.07,808.4
Liaoning,26.73,26.8,27.57,28.33,31.92,30.97,46.63,43.8,44.64,43.36
Jilin,9.71,9.8,9.71,10.03,9.82,9.52,12.4,12.8,12.48,12.53
Heilongjiang,62.28,61.6,62.12,61.38,61.64,61.75,68.17,69,72.44,74.15
Shanghai,,,,,,,,,,
Jiangsu,10.39,10.5,10.71,10.93,10.82,10.81,14.23,14.5,14.73,17.58
Zhejiang,0.43,0.4,0.43,0.43,0.43,0.44,0.49,0.5,0.49,0.49
Anhui,82.37,84,83.96,85.19,80.38,79.91,81.93,83.7,85.91,80.88
Fujian,3.98,4.1,4.22,4.33,4.44,4.29,4.06,4.2,4.42,4.44
Jiangxi,3.36,3.4,3.43,3.97,4.11,4.26,6.74,7.2,7.67,7.92
Shandong,75.67,77.6,77.22,78.78,79.73,74.1,77.56,82.1,84.11,96.25
Henan,85.58,86,86.49,89.55,99.09,97.46,113.49,114.7,115.87,117.8
Hubei,3.2,3.2,3.19,3.23,3.25,3.25,3.3,3.3,3.3,3.32
Hunan,6.62,6.6,6.68,6.61,6.61,13.29,18.76,18.9,19.57,19.83
Guangdong,0.23,0.2,0.23,0.23,0.23,0.23,1.89,1.9,1.89,1.89
Guangxi,0.9,0.9,2.27,2.26,2.08,2.02,7.74,7.7,8.24,8.51
Hainan,1.19,1.2,1.19,1.19,1.19,1.19,0.9,0.9,0.9,0.9
Chongqing,18.03,17.6,18.03,19.86,19.85,18.57,22.49,21.3,20.66,20.23
Sichuan,53.21,53.8,54.1,55.74,54.53,51.82,54.37,52.3,49.76,49.31
Guizhou,110.93,101.7,93.98,83.29,69.39,58.74,118.46,128.1,150.06,146.76
Yunnan,59.58,59.6,59.47,60.1,59.09,59.67,62.47,77.5,78.65,79.68
Tibet,0.12,0.1,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.12
Shaanxi,162.93,126.6,95.48,104.38,108.99,107.59,119.89,268.7,278.46,276.24
Gansu,27.32,32.5,32.86,32.69,34.08,23.51,58.05,58.4,60.48,58.42
Qinghai,12.39,12.5,11.82,12.17,15.97,16.12,16.22,20,20.2,20.53
Ningxia,37.45,37.4,38.04,38.47,32.34,31.28,54.03,55.5,58.15,59.17
Xinjiang,162.31,158.7,158.01,156.53,152.47,148.36,148.31,148,147.41,123.24
