Province,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Beijing,266,390,375,383,373,376,379,700,669,675
Tianjin,297,300,297,297,297,297,297,300,297,297
Hebei,4327,4250,4097,3941,3951,3841,6059,5630,6059,6346
Shanxi,91619,92130,92089,90680,90842,83459,84401,105550,106151,105613
Inner Mongolia,51027,49280,49002,46010,40166,36889,76986,77270,78907,80840
Liaoning,2673,2680,2757,2833,3192,3097,4663,4380,4464,4336
Jilin,971,980,971,1003,982,952,1240,1280,1248,1253
Heilongjiang,6228,6160,6212,6138,6164,6175,6817,6900,7244,7415
Shanghai,0,0,0,0,0,0,0,0,0,0
Jiangsu,1039,1050,1071,1093,1082,1081,1423,1450,1473,1758
Zhejiang,43,40,43,43,43,44,49,50,49,49
Anhui,8237,8400,8396,8519,8038,7991,8193,8370,8591,8088
Fujian,398,410,422,433,444,429,406,420,442,444
Jiangxi,336,340,343,397,411,426,674,720,767,792
Shandong,7567,7760,7722,7878,7973,7410,7756,8210,8411,9625
Henan,8558,8600,8649,8955,9909,9746,11349,11470,11587,11780
Hubei,320,320,319,323,325,325,330,330,330,332
Hunan,662,660,668,661,661,1329,1876,1890,1957,1983
Guangdong,23,20,23,23,23,23,189,190,189,189
Guangxi,90,90,227,226,208,202,774,770,824,851
Hainan,119,120,119,119,119,119,90,90,90,90
Chongqing,1803,1760,1803,1986,1985,1857,2249,2130,2066,2023
Sichuan,5321,5380,5410,5574,5453,5182,5437,5230,4976,4931
Guizhou,11093,10170,9398,8329,6939,5874,11846,12810,15006,14676
Yunnan,5958,5960,5947,6010,5909,5967,6247,7750,7865,7968
Tibet,12,10,12,12,12,12,12,10,12,12
Shaanxi,16293,12660,9548,10438,10899,10759,11989,26870,27846,27624
Gansu,2732,3250,3286,3269,3408,2351,5805,5840,6048,5842
Qinghai,1239,1250,1182,1217,1597,1612,1622,2000,2020,2053
Ningxia,3745,3740,3804,3847,3234,3128,5403,5550,5815,5917
Xinjiang,16231,15870,15801,15653,15247,14836,14831,14800,14741,12324
