River,Year,Grade,Value,Unit,Source
Yellow,2014,Grade I,0.016,Monitoring sections (%),MEP
Yellow,2014,Grade II,0.339,Monitoring sections (%),MEP
Yellow,2014,Grade III,0.242,Monitoring sections (%),MEP
Yellow,2014,Grade IV,0.193,Monitoring sections (%),MEP
Yellow,2014,Grade V,0.081,Monitoring sections (%),MEP
Yellow,2010,Grade IV,0.045,Monitoring sections (%),MEP
Yellow,2010,Grade V,0.068,Monitoring sections (%),MEP
Yellow,2009,Grade I-III,0.682,Monitoring sections (%),MEP
Yellow,2009,Grade IV,0.045,Monitoring sections (%),MEP
Yellow,2009,Grade V,0.023,Monitoring sections (%),MEP
Yellow,2009,Grade V+,0.250,Monitoring sections (%),MEP
Yellow,2009,Grade IV-V,0.068,Monitoring sections (%),MEP
Yellow,2008,Grade I-III,0.682,Monitoring sections (%),MEP
Yellow,2008,Grade IV,0.045,Monitoring sections (%),MEP
Yellow,2008,Grade V,0.068,Monitoring sections (%),MEP
Yellow,2008,Grade V+,0.210,Monitoring sections (%),MEP
Yellow,2008,Grade IV-V,0.113,Monitoring sections (%),MEP
Yellow,2007,Grade I-III,0.637,Monitoring sections (%),MEP
Yellow,2007,Grade IV,0.091,Monitoring sections (%),MEP
Yellow,2007,Grade V,0.045,Monitoring sections (%),MEP
Yellow,2007,Grade V+,0.227,Monitoring sections (%),MEP
Yellow,2007,Grade IV-V,0.136,Monitoring sections (%),MEP
Yangtze,2015,Grade I-III,0.894,Monitoring sections (%),MEP
Yangtze,2015,Grade IV-V,0.074,Monitoring sections (%),MEP
Yangtze,2015,Grade V+,0.031,Monitoring sections (%),MEP
Yellow,2015,Grade I-III,0.612,Monitoring sections (%),MEP
Yellow,2015,Grade IV-V,0.258,Monitoring sections (%),MEP
Yellow,2015,Grade V+,0.129,Monitoring sections (%),MEP
Pearl,2015,Grade I-III,0.945,Monitoring sections (%),MEP
Pearl,2015,Grade IV-V,0.018,Monitoring sections (%),MEP
Pearl,2015,Grade V+,0.037,Monitoring sections (%),MEP
Songhua,2015,Grade I-III,0.651,Monitoring sections (%),MEP
Songhua,2015,Grade IV-V,0.290,Monitoring sections (%),MEP
Songhua,2015,Grade V+,0.058,Monitoring sections (%),MEP
Huai,2015,Grade I-III,0.543,Monitoring sections (%),MEP
Huai,2015,Grade IV-V,0.361,Monitoring sections (%),MEP
Huai,2015,Grade V+,0.096,Monitoring sections (%),MEP
Hai,2015,Grade I-III,0.422,Monitoring sections (%),MEP
Hai,2015,Grade IV-V,0.187,Monitoring sections (%),MEP
Hai,2015,Grade V+,0.391,Monitoring sections (%),MEP
Liao,2015,Grade I-III,0.400,Monitoring sections (%),MEP
Liao,2015,Grade IV-V,0.455,Monitoring sections (%),MEP
Liao,2015,Grade V+,0.145,Monitoring sections (%),MEP
Yangtze,2014,Grade I-III,0.881,Monitoring sections (%),MEP
Yangtze,2014,Grade IV-V,0.088,Monitoring sections (%),MEP
Yangtze,2014,Grade V+,0.031,Monitoring sections (%),MEP
Yellow,2014,Grade I-III,0.597,Monitoring sections (%),MEP
Yellow,2014,Grade IV-V,0.274,Monitoring sections (%),MEP
Yellow,2014,Grade V+,0.129,Monitoring sections (%),MEP
Pearl,2014,Grade I-III,0.945,Monitoring sections (%),MEP
Pearl,2014,Grade IV-V,0.018,Monitoring sections (%),MEP
Pearl,2014,Grade V+,0.037,Monitoring sections (%),MEP
Songhua,2014,Grade I-III,0.621,Monitoring sections (%),MEP
Songhua,2014,Grade IV-V,0.333,Monitoring sections (%),MEP
Songhua,2014,Grade V+,0.046,Monitoring sections (%),MEP
Huai,2014,Grade I-III,0.564,Monitoring sections (%),MEP
Huai,2014,Grade IV-V,0.287,Monitoring sections (%),MEP
Huai,2014,Grade V+,0.149,Monitoring sections (%),MEP
Hai,2014,Grade I-III,0.391,Monitoring sections (%),MEP
Hai,2014,Grade IV-V,0.234,Monitoring sections (%),MEP
Hai,2014,Grade V+,0.375,Monitoring sections (%),MEP
Liao,2014,Grade I-III,0.418,Monitoring sections (%),MEP
Liao,2014,Grade IV-V,0.509,Monitoring sections (%),MEP
Liao,2014,Grade V+,0.073,Monitoring sections (%),MEP
Yangtze,2013,Grade I-III,0.894,Monitoring sections (%),MEP
Yangtze,2013,Grade IV-V,0.075,Monitoring sections (%),MEP
Yangtze,2013,Grade V+,0.031,Monitoring sections (%),MEP
Yellow,2013,Grade I-III,0.581,Monitoring sections (%),MEP
Yellow,2013,Grade IV-V,0.258,Monitoring sections (%),MEP
Yellow,2013,Grade V+,0.161,Monitoring sections (%),MEP
Pearl,2013,Grade I-III,0.944,Monitoring sections (%),MEP
Pearl,2013,Grade IV-V,0.000,Monitoring sections (%),MEP
Pearl,2013,Grade V+,0.056,Monitoring sections (%),MEP
Songhua,2013,Grade I-III,0.557,Monitoring sections (%),MEP
Songhua,2013,Grade IV-V,0.386,Monitoring sections (%),MEP
Songhua,2013,Grade V+,0.057,Monitoring sections (%),MEP
Huai,2013,Grade I-III,0.596,Monitoring sections (%),MEP
Huai,2013,Grade IV-V,0.287,Monitoring sections (%),MEP
Huai,2013,Grade V+,0.117,Monitoring sections (%),MEP
Hai,2013,Grade I-III,0.391,Monitoring sections (%),MEP
Hai,2013,Grade IV-V,0.218,Monitoring sections (%),MEP
Hai,2013,Grade V+,0.391,Monitoring sections (%),MEP
Liao,2013,Grade I-III,0.455,Monitoring sections (%),MEP
Liao,2013,Grade IV-V,0.491,Monitoring sections (%),MEP
Liao,2013,Grade V+,0.054,Monitoring sections (%),MEP
Yangtze,2012,Grade I-III,0.862,Monitoring sections (%),MEP
Yangtze,2012,Grade IV-V,0.094,Monitoring sections (%),MEP
Yangtze,2012,Grade V+,0.044,Monitoring sections (%),MEP
Yellow,2012,Grade I-III,0.607,Monitoring sections (%),MEP
Yellow,2012,Grade IV-V,0.213,Monitoring sections (%),MEP
Yellow,2012,Grade V+,0.180,Monitoring sections (%),MEP
Pearl,2012,Grade I-III,0.907,Monitoring sections (%),MEP
Pearl,2012,Grade IV-V,0.056,Monitoring sections (%),MEP
Pearl,2012,Grade V+,0.037,Monitoring sections (%),MEP
Songhua,2012,Grade I-III,0.580,Monitoring sections (%),MEP
Songhua,2012,Grade IV-V,0.363,Monitoring sections (%),MEP
Songhua,2012,Grade V+,0.057,Monitoring sections (%),MEP
Huai,2012,Grade I-III,0.474,Monitoring sections (%),MEP
Huai,2012,Grade IV-V,0.347,Monitoring sections (%),MEP
Huai,2012,Grade V+,0.179,Monitoring sections (%),MEP
Hai,2012,Grade I-III,0.391,Monitoring sections (%),MEP
Hai,2012,Grade IV-V,0.281,Monitoring sections (%),MEP
Hai,2012,Grade V+,0.328,Monitoring sections (%),MEP
Liao,2012,Grade I-III,0.436,Monitoring sections (%),MEP
Liao,2012,Grade IV-V,0.419,Monitoring sections (%),MEP
Liao,2012,Grade V+,0.145,Monitoring sections (%),MEP
Yangtze,2011,Grade I-III,0.809,Monitoring sections (%),MEP
Yangtze,2011,Grade IV-V,0.138,Monitoring sections (%),MEP
Yangtze,2011,Grade V+,0.053,Monitoring sections (%),MEP
Yellow,2011,Grade I-III,0.698,Monitoring sections (%),MEP
Yellow,2011,Grade IV-V,0.116,Monitoring sections (%),MEP
Yellow,2011,Grade V+,0.186,Monitoring sections (%),MEP
Pearl,2011,Grade I-III,0.848,Monitoring sections (%),MEP
Pearl,2011,Grade IV-V,0.122,Monitoring sections (%),MEP
Pearl,2011,Grade V+,0.030,Monitoring sections (%),MEP
Songhua,2011,Grade I-III,0.452,Monitoring sections (%),MEP
Songhua,2011,Grade IV-V,0.405,Monitoring sections (%),MEP
Songhua,2011,Grade V+,0.143,Monitoring sections (%),MEP
Huai,2011,Grade I-III,0.419,Monitoring sections (%),MEP
Huai,2011,Grade IV-V,0.430,Monitoring sections (%),MEP
Huai,2011,Grade V+,0.151,Monitoring sections (%),MEP
Hai,2011,Grade I-III,0.317,Monitoring sections (%),MEP
Hai,2011,Grade IV-V,0.302,Monitoring sections (%),MEP
Hai,2011,Grade V+,0.381,Monitoring sections (%),MEP
Liao,2011,Grade I-III,0.405,Monitoring sections (%),MEP
Liao,2011,Grade IV-V,0.487,Monitoring sections (%),MEP
Liao,2011,Grade V+,0.108,Monitoring sections (%),MEP
Yangtze,2010,Grade I-III,0.886,Monitoring sections (%),MEP
Yangtze,2010,Grade IV-V,0.076,Monitoring sections (%),MEP
Yangtze,2010,Grade V+,0.038,Monitoring sections (%),MEP
Yellow,2010,Grade I-III,0.682,Monitoring sections (%),MEP
Yellow,2010,Grade IV-V,0.113,Monitoring sections (%),MEP
Yellow,2010,Grade V+,0.205,Monitoring sections (%),MEP
Pearl,2010,Grade I-III,0.849,Monitoring sections (%),MEP
Pearl,2010,Grade IV-V,0.151,Monitoring sections (%),MEP
Pearl,2010,Grade V+,0.000,Monitoring sections (%),MEP
Songhua,2010,Grade I-III,0.476,Monitoring sections (%),MEP
Songhua,2010,Grade IV-V,0.405,Monitoring sections (%),MEP
Songhua,2010,Grade V+,0.119,Monitoring sections (%),MEP
Huai,2010,Grade I-III,0.419,Monitoring sections (%),MEP
Huai,2010,Grade IV-V,0.418,Monitoring sections (%),MEP
Huai,2010,Grade V+,0.163,Monitoring sections (%),MEP
Hai,2010,Grade I-III,0.371,Monitoring sections (%),MEP
Hai,2010,Grade IV-V,0.226,Monitoring sections (%),MEP
Hai,2010,Grade V+,0.403,Monitoring sections (%),MEP
Liao,2010,Grade I-III,0.405,Monitoring sections (%),MEP
Liao,2010,Grade IV-V,0.352,Monitoring sections (%),MEP
Liao,2010,Grade V+,0.243,Monitoring sections (%),MEP
Northwest,2014,Grade I-III,0.980,Monitoring sections (%),MEP
Northwest,2014,Grade IV-V,0.000,Monitoring sections (%),MEP
Northwest,2014,Grade V+,0.020,Monitoring sections (%),MEP
Southwest,2014,Grade I-III,0.936,Monitoring sections (%),MEP
Southwest,2014,Grade IV-V,0.032,Monitoring sections (%),MEP
Southwest,2014,Grade V+,0.032,Monitoring sections (%),MEP
Northwest,2015,Grade I-III,0.960,Monitoring sections (%),MEP
Northwest,2015,Grade IV-V,0.040,Monitoring sections (%),MEP
Northwest,2015,Grade V+,0.000,Monitoring sections (%),MEP
Southwest,2015,Grade I-III,0.965,Monitoring sections (%),MEP
Southwest,2015,Grade IV-V,0.035,Monitoring sections (%),MEP
Southwest,2015,Grade V+,0.000,Monitoring sections (%),MEP
Songhua,2013,Grade I,0.000,River length (%),MWR
Songhua,2013,Grade II,0.102,River length (%),MWR
Songhua,2013,Grade III,0.425,River length (%),MWR
Songhua,2013,Grade IV,0.285,River length (%),MWR
Songhua,2013,Grade V,0.089,River length (%),MWR
Songhua,2013,Grade V+,0.099,River length (%),MWR
Liao,2013,Grade I,0.012,River length (%),MWR
Liao,2013,Grade II,0.396,River length (%),MWR
Liao,2013,Grade III,0.140,River length (%),MWR
Liao,2013,Grade IV,0.164,River length (%),MWR
Liao,2013,Grade V,0.082,River length (%),MWR
Liao,2013,Grade V+,0.206,River length (%),MWR
Hai,2013,Grade I,0.016,River length (%),MWR
Hai,2013,Grade II,0.170,River length (%),MWR
Hai,2013,Grade III,0.147,River length (%),MWR
Hai,2013,Grade IV,0.084,River length (%),MWR
Hai,2013,Grade V,0.102,River length (%),MWR
Hai,2013,Grade V+,0.481,River length (%),MWR
Yellow,2013,Grade I,0.048,River length (%),MWR
Yellow,2013,Grade II,0.357,River length (%),MWR
Yellow,2013,Grade III,0.196,River length (%),MWR
Yellow,2013,Grade IV,0.101,River length (%),MWR
Yellow,2013,Grade V,0.048,River length (%),MWR
Yellow,2013,Grade V+,0.250,River length (%),MWR
Huai,2013,Grade I,0.005,River length (%),MWR
Huai,2013,Grade II,0.095,River length (%),MWR
Huai,2013,Grade III,0.286,River length (%),MWR
Huai,2013,Grade IV,0.271,River length (%),MWR
Huai,2013,Grade V,0.108,River length (%),MWR
Huai,2013,Grade V+,0.235,River length (%),MWR
Yangtze,2013,Grade I,0.060,River length (%),MWR
Yangtze,2013,Grade II,0.479,River length (%),MWR
Yangtze,2013,Grade III,0.205,River length (%),MWR
Yangtze,2013,Grade IV,0.084,River length (%),MWR
Yangtze,2013,Grade V,0.056,River length (%),MWR
Yangtze,2013,Grade V+,0.116,River length (%),MWR
Southeast,2013,Grade I,0.029,River length (%),MWR
Southeast,2013,Grade II,0.533,River length (%),MWR
Southeast,2013,Grade III,0.280,River length (%),MWR
Southeast,2013,Grade IV,0.076,River length (%),MWR
Southeast,2013,Grade V,0.030,River length (%),MWR
Southeast,2013,Grade V+,0.052,River length (%),MWR
Pearl,2013,Grade I,0.032,River length (%),MWR
Pearl,2013,Grade II,0.657,River length (%),MWR
Pearl,2013,Grade III,0.178,River length (%),MWR
Pearl,2013,Grade IV,0.039,River length (%),MWR
Pearl,2013,Grade V,0.034,River length (%),MWR
Pearl,2013,Grade V+,0.060,River length (%),MWR
Southwest,2013,Grade I,0.039,River length (%),MWR
Southwest,2013,Grade II,0.662,River length (%),MWR
Southwest,2013,Grade III,0.256,River length (%),MWR
Southwest,2013,Grade IV,0.021,River length (%),MWR
Southwest,2013,Grade V,0.012,River length (%),MWR
Southwest,2013,Grade V+,0.010,River length (%),MWR
Northwest,2013,Grade I,0.166,River length (%),MWR
Northwest,2013,Grade II,0.670,River length (%),MWR
Northwest,2013,Grade III,0.075,River length (%),MWR
Northwest,2013,Grade IV,0.030,River length (%),MWR
Northwest,2013,Grade V,0.017,River length (%),MWR
Northwest,2013,Grade V+,0.042,River length (%),MWR
Songhua,2014,Grade I,0.005,River length (%),MWR
Songhua,2014,Grade II,0.176,River length (%),MWR
Songhua,2014,Grade III,0.453,River length (%),MWR
Songhua,2014,Grade IV,0.232,River length (%),MWR
Songhua,2014,Grade V,0.050,River length (%),MWR
Songhua,2014,Grade V+,0.084,River length (%),MWR
Liao,2014,Grade I,0.015,River length (%),MWR
Liao,2014,Grade II,0.416,River length (%),MWR
Liao,2014,Grade III,0.147,River length (%),MWR
Liao,2014,Grade IV,0.179,River length (%),MWR
Liao,2014,Grade V,0.051,River length (%),MWR
Liao,2014,Grade V+,0.192,River length (%),MWR
Hai,2014,Grade I,0.026,River length (%),MWR
Hai,2014,Grade II,0.194,River length (%),MWR
Hai,2014,Grade III,0.134,River length (%),MWR
Hai,2014,Grade IV,0.097,River length (%),MWR
Hai,2014,Grade V,0.107,River length (%),MWR
Hai,2014,Grade V+,0.442,River length (%),MWR
Yellow,2014,Grade I,0.053,River length (%),MWR
Yellow,2014,Grade II,0.416,River length (%),MWR
Yellow,2014,Grade III,0.191,River length (%),MWR
Yellow,2014,Grade IV,0.080,River length (%),MWR
Yellow,2014,Grade V,0.071,River length (%),MWR
Yellow,2014,Grade V+,0.189,River length (%),MWR
